2;Acessorio;Adaptador Xbox One Headset Fone P2 Microsoft Day One Novo;O Adaptador Headset Xbox One fornece a melhor experiência em áudio e chat, permitindo controlar o áudio sem tirar as mãos do controle.;Microsoft;Xbox One X;399.99;50.0;2;
3;Acessorio;Capa Xbox One X Slim Antipoeira Protetora Console Case Skin;-Protege da poeira, e é resistente à água!, -Possui abertura traseira para não ter que ficar retirando os cabos ao aplicar a capa!, -Facilmente colocável e removível!, -Caimento respeita o design do XBOX ONE S!, -Produto exatamente como nas fotos!;KawaBanga Acessórios;Xbox One X;29.99;5.0;2;
4;Acessorio;Capa Pra Ps4 Pro 4k Protetora Poeira ;-Protege da poeira, e é resistente à água!, -Possui abertura traseira para não ter que ficar retirando os cabos ao aplicar a capa!, -Facilmente colocável e removível!, -Caimento respeita o design do PS4 PRO!, -Produto exatamente como nas fotos!;KawaBanga Acessórios;Playstation 4 Pro;29.99;5.0;3;
5;Acessorio;Joystick Carregador Ps4 Xtrad;Carregador de controle PS4 Xtrad;Xtrad;Playstation 4 Pro;59.90;15.0;2;
